CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170325133, 3/25/17,Sa,18:15,18,Afternoon,2303,LAR,SHPL,8473 WATERS AVE,SAVANNAH,4665B,Skyland Terrace/Grove Park,04,43,"LARCENY,SHOPLIFTING"
170319095, 3/19/17,Su,12:03,12,Day,2303,LAR,SHPL,"7804 ABERCORN ST, SAV",SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170319177, 3/19/17,Su,21:15,21,Afternoon,2303,LAR,SHPL,712 STEPHENSON AVE,SAVANNAH,4510X,Jackson Manor,04,41,"LARCENY,SHOPLIFTING"
170320171, 3/20/17,Mo,20:53,20,Afternoon,2303,LAR,SHPL,7804 ABERCORN ST,SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170320056, 3/20/17,Mo,10:16,10,Day,2303,LAR,SHPL,7804 ABERCORN ST,SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170324001, 3/24/17,Fr,00:01,00,Midnight,2303,LAR,SHPL,"14030 ABERCORN ST, SAV",SAVANNAH,8451A,Bell's Landing,04,46,"LARCENY,SHOPLIFTING"
170323184, 3/23/17,Th,20:28,20,Afternoon,2303,LAR,SHPL,"14065 ABERCORN ST, SAV",SAVANNAH,5742A,Savannah Mall,04,46,"LARCENY,SHOPLIFTING"
170322105, 3/22/17,We,15:32,15,Day,2303,LAR,SHPL,5500 ABERCORN ST,Savannah,4476A,Kensington Park,04,41,"LARCENY,SHOPLIFTING"
170321079, 3/21/17,Tu,12:52,12,Day,2303,LAR,SHPL,"14045 ABERCORN ST, SAV",SAVANNAH,5742A,Savannah Mall,04,46,"LARCENY,SHOPLIFTING"
170321125, 3/21/17,Tu,15:45,15,Day,2303,LAR,SHPL,7804 ABERCORN ST,SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170321150, 3/21/17,Tu,17:20,17,Afternoon,2303,LAR,SHPL,7804 ABERCORN ST,SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170321167, 3/21/17,Tu,18:50,18,Afternoon,2303,LAR,SHPL,8614 WHITE BLUFF RD,COU,4763A,Oakhurst,04,43,"LARCENY,SHOPLIFTING"
170321171, 3/21/17,Tu,19:53,19,Afternoon,2303,LAR,SHPL,"7804 ABERCORN ST, SAV",SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170323135, 3/23/17,Th,16:10,16,Afternoon,2304,LAR,LA,43 KANDLEWOOD DR,SAVANNAH,4763A,Oakhurst,04,43,"LARCENY,AUTO PARTS"
170324131, 3/24/17,Fr,16:24,16,Afternoon,2305,LAR,LA,12517 LARGO DR,SAVANNAH,5734X,Berkshire Woods,04,46,"LARCENY,ENTERING AUTO"
170324166, 3/24/17,Fr,19:48,19,Afternoon,2305,LAR,LA,11414 ABERCORN ST,SAVANNAH,5703C,Southside Apartment Row,04,44,"LARCENY,ENTERING AUTO"
170325091, 3/25/17,Sa,13:41,13,Day,2305,LAR,LA,201 W MONTGOMERY CROSS RD #161,SAVANNAH,5702B,Colonial Village/Leeds Gate,04,42,"LARCENY,ENTERING AUTO"
170321145, 3/21/17,Tu,17:02,17,Afternoon,2305,LAR,LA,425 TIBET AVE #B,SAVANNAH,5703A,Wilshire Estates,04,42,"LARCENY,ENTERING AUTO"
170323047, 3/23/17,Th,07:48,07,Midnight,2305,LAR,LA,12350 MERCY BLVD #342,SAVANNAH,5736A,Armstrong-Atlantic,04,44,"LARCENY,ENTERING AUTO"
170320095, 3/20/17,Mo,13:28,13,Day,2308,LAR,LB,42 W MONTGOMERY CROSS RD,SAVANNAH,4372X,Chippewa Plaza/Oglethorpe Plaza,04,43,"LARCENY,FROM BUILDING"
170320111, 3/20/17,Mo,03:30,03,Midnight,2308,LAR,LB,254 BORDEAUX LN,SAVANNAH,5733B,Colonial Oaks,04,44,"LARCENY,FROM BUILDING"
170323100, 3/23/17,Th,13:23,13,Day,2308,LAR,LB,60 W MONTGOMERY CROSS RD #133,SAVANNAH,4372X,Chippewa Plaza/Oglethorpe Plaza,04,43,"LARCENY,FROM BUILDING"
170325151, 3/25/17,Sa,20:24,20,Afternoon,2308,LAR,LB,7805 ABERCORN ST,SAVANNAH,4661X,Abercorn Strip,04,41,"LARCENY,FROM BUILDING"
170325036, 3/25/17,Sa,05:43,05,Midnight,2308,LAR,LB,511 STEPHENSON AVE,SAVANNAH,4542B,Southside Commercial District,04,41,"LARCENY,FROM BUILDING"
170324046, 3/24/17,Fr,09:11,09,Day,2308,LAR,LB,8 POSSUM POINT DR,COU,4718X,Burnside Island,04,45,"LARCENY,FROM BUILDING"
170322153, 3/22/17,We,20:09,20,Afternoon,2404,AT,AT,50 EISENHOWER DR,SAVANNAH,4541X,Abercorn Strip,04,41,AUTO THEFT
170323051, 3/23/17,Th,08:33,08,Day,2404,AT,AT,66 HIDDEN LAKE CT,SAVANNAH,5742B,Savannah Mall,04,46,AUTO THEFT
170325106, 3/25/17,Sa,14:56,14,Day,2404,AT,AT,204 STATION TR,SAVANNAH,5702B,Colonial Village/Leeds Gate,04,42,AUTO THEFT
170324037, 3/24/17,Fr,08:36,08,Day,2434,AT,AT,"10612 ABERCORN ST #D1, SAV",Savannah,5712B,Southside Apartment Row,04,44,"AUTO THEFT,OTHER VEHICLE"
170324043, 3/24/17,Fr,09:13,09,Day,1203,ROB,CR,4601 SKIDAWAY RD,SAVANNAH,3486C,Forrest Park,05,54,"ROBBERY,BUSINESS,STRONGAR"
,,,,,,,,,,,,,,,
